x,y,z,size,type
0.374026706,0.732538131,0.595356269,16,3
0.740527483,0.096592513,0.52604605,17,3
0.872220861,0.610309711,0.777523279,4,5
0.04658528,0.646633028,0.086925274,14,3
0.112159564,0.547621596,0.293273707,16,1
0.925489539,0.273031023,0.422179445,14,3
0.829202305,0.848789703,0.072948678,17,4
0.691927655,0.5218818,0.797361179,6,4
0.325604359,0.223621692,0.378878913,20,1
0.22002369,0.347866686,0.798263261,11,5
0.781951643,0.46214725,0.653953053,13,3
0.996895023,0.105153471,0.130622426,11,3
0.445378799,0.42080639,0.681090371,6,5
0.27104703,0.822598603,0.481813007,9,3
0.893225437,0.242333245,0.988423205,19,2
0.42738222,0.087343448,0.749830102,20,2
0.426761003,0.961046164,0.272509466,7,1
0.433911909,0.776508063,0.47636913,1,1
0.078818801,0.97202928,0.918073269,20,1
0.4049212,0.093006293,0.036942638,16,4
0.854196056,0.502010759,0.595941309,14,2
0.967777463,0.689463868,0.940666042,20,1
0.315659104,0.241986598,0.667554078,19,4
0.442344599,0.680057452,0.453739635,11,1
0.845691764,0.839546924,0.296329566,14,3
0.290473421,0.064551102,0.462996878,1,4
0.422457339,0.790487873,0.730403946,17,2
0.714643277,0.771801965,0.604924573,1,2
0.930405449,0.843695262,0.83801993,13,4
0.689665737,0.973410194,0.903072738,14,4
0.933434885,0.923691083,0.349746975,6,2
0.113819079,0.122442032,0.981213387,19,4
0.5216868,0.220079985,0.814085946,7,1
0.44154403,0.515403847,0.73751853,17,1
0.172841411,0.393278718,0.908938246,4,2
0.727404759,0.918266841,0.278642974,19,2
0.236250927,0.264367108,0.467880498,6,3
0.270164407,0.289386067,0.927253384,18,5
0.378162858,0.481295481,0.806960096,18,1
0.34582535,0.889563953,0.481592284,12,5
0.675569553,0.730251401,0.810990016,17,1
0.577654874,0.418657316,0.301477448,20,1
0.529614526,0.752278038,0.192640148,20,2
0.91358097,0.492679731,0.622835148,7,2
0.481862133,0.298514927,0.02970525,16,3
0.329610392,0.522977338,0.637661851,6,3
0.28977732,0.712191825,0.781968631,15,5
0.753879466,0.410711638,0.373373657,12,4
0.651331482,0.129030945,0.140383772,8,1
0.860813723,0.747542846,0.005925114,9,4
0.133402441,0.934995895,0.667429513,18,5
0.543372176,0.628345425,0.008080341,13,4
0.642935333,0.954289062,0.16090076,17,2
0.087028227,0.693131172,0.159402784,4,5
0.716255523,0.25883223,0.007942656,6,1
0.532856002,0.027225727,0.046270395,19,5
0.982923347,0.506870378,0.087470671,9,4
0.26202251,0.76485183,0.430941574,2,2
0.624131847,0.353661877,0.803383442,16,5
0.779979667,0.39287595,0.165288814,4,3
0.635097022,0.053033848,0.431476077,10,5
0.720014991,0.161727013,0.587969055,5,4
0.272171012,0.528316962,0.403052285,4,2
0.835384116,0.892747336,0.799342507,12,4
0.19589067,0.269065416,0.024886218,15,3
0.397897301,0.987770227,0.133078647,2,3
0.704136604,0.543418883,0.730337332,12,5
0.548300191,0.624063563,0.993867837,7,5
0.878478383,0.765551728,0.230163138,15,5
0.851458431,0.045313175,0.07238382,7,4
0.504840694,0.370188271,0.534046985,11,5
0.742214313,0.916380075,0.844526256,2,2
0.952534545,0.64074627,0.635220863,6,3
0.523207296,0.905826734,0.240138348,7,1
0.360284848,0.243725207,0.332043369,13,1
0.294142969,0.433260653,0.111813269,14,5
0.342703801,0.640133902,0.448724395,3,2
0.943450965,0.196637147,0.65066359,18,5
0.447450799,0.16310371,0.816613039,17,5
0.699208237,0.732890948,0.14013588,4,3
0.496196299,0.219735675,0.671185563,9,4
0.657080416,0.2647184,0.725333869,4,3
0.013635192,0.604255166,0.431119722,2,1
0.350226201,0.552169738,0.22202235,12,2
0.538485467,0.797666079,0.325705963,6,1
0.397367879,0.368550913,0.556056327,17,2
0.595504854,0.635022818,0.216155786,8,4
0.665692888,0.751779428,0.935781421,1,4
0.312518856,0.56568301,0.131478888,5,5
0.307378095,0.603147437,0.220987161,11,4
0.095336426,0.044398168,0.618766817,2,2
0.244405255,0.946086739,0.944855546,17,2
0.319344709,0.294486308,0.759210137,12,4
0.585000408,0.46348811,0.393546755,5,3
0.887182866,0.481856327,0.107620749,1,2
0.430624983,0.245059928,0.032279789,8,2
0.340212003,0.646116619,0.614066574,6,2
0.527020653,0.253110087,0.162324015,16,5
0.741922692,0.459850815,0.353220915,4,2
0.820862907,0.84864686,0.958861314,11,5
