GDP,Life Expectancy,Population,Size,r,g,b,Continent,Country
1598.435089,65.528,199579,5,125,212,201,Africa, Sao Tome and Principe 
2082.481567,54.791,496374,5.03263998,125,212,201,Africa, Djibouti 
12154.08975,51.579,551201,5.03866957,125,212,201,Africa, Equatorial Guinea 
986.1478792,65.152,710960,5.056239038,125,212,201,Africa, Comoros 
7670.122558,76.442,798094,5.065821585,125,212,201,Africa, Reunion 
4513.480643,39.613,1133066,5.102660074,125,212,201,Africa, Swaziland 
10956.99112,72.801,1250882,5.115616868,125,212,201,Africa, Mauritius 
13206.48452,56.735,1454867,5.138050084,125,212,201,Africa, Gabon 
579.231743,46.388,1472041,5.139938792,125,212,201,Africa, Guinea-Bissau 
12569.85177,50.728,1639131,5.158314486,125,212,201,Africa, Botswana 
752.7497265,59.448,1688359,5.163728327,125,212,201,Africa, Gambia 
1569.331442,42.592,2012649,5.199392064,125,212,201,Africa, Lesotho 
4811.060429,52.906,2055080,5.204058406,125,212,201,Africa, Namibia 
414.5073415,45.678,3193942,5.32930456,125,212,201,Africa, Liberia 
1803.151496,64.164,3270065,5.337676174,125,212,201,Africa, Mauritania 
706.016537,44.741,4369038,5.458535543,125,212,201,Africa, Central African Republic 
641.3695236,58.04,4906585,5.517652182,125,212,201,Africa, Eritrea 
882.9699438,58.42,5701579,5.605081512,125,212,201,Africa, Togo 
12057.49928,73.952,6036914,5.641959921,125,212,201,Africa, Libya 
862.5407561,42.568,6144562,5.653798492,125,212,201,Africa, Sierra Leone 
1441.284873,56.728,8078314,5.866462538,125,212,201,Africa, Benin 
430.0706916,49.58,8390505,5.90079569,125,212,201,Africa, Burundi 
863.0884639,46.242,8860588,5.952492988,125,212,201,Africa, Rwanda 
926.1410683,48.159,9118773,5.98088684,125,212,201,Africa, Somalia 
942.6542111,56.007,9947814,6.072060482,125,212,201,Africa, Guinea 
1704.063724,50.651,10238807,6.104062388,125,212,201,Africa, Chad 
7092.923025,73.923,10276158,6.108170058,125,212,201,Africa, Tunisia 
1271.211593,42.384,11746035,6.26981953,125,212,201,Africa, Zambia 
1042.581557,54.467,12031795,6.301245937,125,212,201,Africa, Mali 
1712.472136,63.062,12267493,6.327166785,125,212,201,Africa, Senegal 
469.7092981,43.487,12311143,6.331967186,125,212,201,Africa, Zimbabwe 
4797.231267,42.731,12420476,6.343991064,125,212,201,Africa, Angola 
619.6768924,56.867,12894865,6.396161913,125,212,201,Africa, Niger 
759.3499101,48.303,13327079,6.443694574,125,212,201,Africa, Malawi 
1217.032994,52.295,14326203,6.553573066,125,212,201,Africa, Burkina Faso 
2042.09524,50.43,17696293,6.924198139,125,212,201,Africa, Cameroon 
1544.750112,48.328,18013409,6.959072917,125,212,201,Africa, Cote d'Ivoire 
1044.770126,59.443,19167654,7.086010814,125,212,201,Africa, Madagascar 
823.6856205,42.082,19951656,7.172231301,125,212,201,Africa, Mozambique 
1327.60891,60.022,22873338,7.49354278,125,212,201,Africa, Ghana 
1056.380121,51.542,29170398,8.18606088,125,212,201,Africa, Uganda 
6223.367465,72.301,33333216,8.64386608,125,212,201,Africa, Algeria 
3820.17523,71.164,33757175,8.690490899,125,212,201,Africa, Morocco 
1463.249282,54.11,35610177,8.894274478,125,212,201,Africa, Kenya 
1107.482182,52.517,38139640,9.17245174,125,212,201,Africa, Tanzania 
2602.394995,58.556,42292929,9.62920899,125,212,201,Africa, Sudan 
9269.657808,49.339,43997828,9.816704967,125,212,201,Africa, South Africa 
690.8055759,52.947,76511887,13.39243306,125,212,201,Africa, Ethiopia 
5581.180998,71.338,80264543,13.80513077,125,212,201,Africa, Egypt 
2013.977305,46.859,135031164,19.82808057,125,212,201,Africa, Nigeria 
18008.50924,69.819,1056608,5.094251618,91,153,188,America, Trinidad and Tobago 
7320.880262,72.567,2780132,5.283795876,91,153,188,America, Jamaica 
9809.185636,75.537,3242173,5.334608756,91,153,188,America, Panama 
10611.46299,76.384,3447496,5.357189118,91,153,188,America, Uruguay 
19328.70901,78.746,3942491,5.411626109,91,153,188,America, Puerto Rico 
9645.06142,78.782,4133884,5.432674522,91,153,188,America, Costa Rica 
2749.320965,72.899,5675356,5.602197642,91,153,188,America, Nicaragua 
4172.838464,71.752,6667147,5.711269688,91,153,188,America, Paraguay 
5728.353514,71.878,6939688,5.741242338,91,153,188,America, El Salvador 
3548.330846,70.198,7483763,5.801076894,91,153,188,America, Honduras 
1201.637154,60.916,8502814,5.913146854,91,153,188,America, Haiti 
3822.137084,65.554,9119152,5.98092852,91,153,188,America, Bolivia 
6025.374752,72.235,9319622,6.002975174,91,153,188,America, Dominican Republic 
8948.102923,78.273,11416987,6.233632532,91,153,188,America, Cuba 
5186.050003,70.259,12572928,6.360756947,91,153,188,America, Guatemala 
6873.262326,74.994,13755680,6.490829896,91,153,188,America, Ecuador 
13171.63885,78.553,16284741,6.768962949,91,153,188,America, Chile 
11415.80569,73.747,26084662,7.84670759,91,153,188,America, Venezuela 
7408.905561,71.421,28674757,8.131552846,91,153,188,America, Peru 
36319.23501,80.653,33390141,8.650126397,91,153,188,America, Canada 
12779.37964,75.32,40301927,9.410248884,91,153,188,America, Argentina 
7006.580419,72.889,44227550,9.841968605,91,153,188,America, Colombia 
11977.57496,76.195,108700891,16.93241329,91,153,188,America, Mexico 
9065.800825,72.39,190010647,25.87443984,91,153,188,America, Brazil 
42951.65309,78.242,301139947,38.09586566,91,153,188,America, United States 
29796.04834,75.635,708573,5.055976528,178,140,170,Asia, Bahrain 
47306.98978,77.588,2505559,5.253599757,178,140,170,Asia, Kuwait 
3095.772271,66.803,2874127,5.29413296,178,140,170,Asia, Mongolia 
22316.19287,75.64,3204897,5.330509335,178,140,170,Asia, Oman 
10461.05868,71.993,3921278,5.409293213,178,140,170,Asia, Lebanon 
3025.349798,73.422,4018332,5.41996671,178,140,170,Asia, West Bank and Gaza 
47143.17964,79.972,4553009,5.478767722,178,140,170,Asia, Singapore 
4519.461171,72.535,6053193,5.643750202,178,140,170,Asia, Jordan 
25523.2771,80.745,6426679,5.684824261,178,140,170,Asia, Israel 
1713.778686,59.723,14131858,6.532200008,178,140,170,Asia, Cambodia 
4184.548089,74.143,19314747,7.102187342,178,140,170,Asia, Syria 
3970.095407,72.396,20378239,7.219144693,178,140,170,Asia, Sri Lanka 
28718.27684,78.4,23174294,7.526640365,178,140,170,Asia, Taiwan 
12451.6558,74.241,24821286,7.70776803,178,140,170,Asia, Malaysia 
4471.061906,59.545,27499638,8.002319334,178,140,170,Asia, Iraq 
21654.83194,72.777,27601038,8.013470782,178,140,170,Asia, Saudi Arabia 
1091.359778,63.785,28901790,8.156520761,178,140,170,Asia, Nepal 
974.5803384,43.828,31889923,8.485140179,178,140,170,Asia, Afghanistan 
944,62.069,47761980,10.23066694,178,140,170,Asia, Myanmar 
7458.396327,70.616,65068149,12.13390993,178,140,170,Asia, Thailand 
11605.71449,70.964,69453570,12.61619585,178,140,170,Asia, Iran 
2441.576404,74.249,85262356,14.3547644,178,140,170,Asia, Vietnam 
3190.481016,71.688,91077287,14.99426044,178,140,170,Asia, Philippines 
31656.06806,82.603,127467972,18.99631982,178,140,170,Asia, Japan 
1391.253792,64.062,150448339,21.52358177,178,140,170,Asia, Bangladesh 
2605.94758,65.483,169270617,23.59355858,178,140,170,Asia, Pakistan 
3540.651564,70.65,223547000,29.56259455,178,140,170,Asia, Indonesia 
2452.210407,64.698,1110396331,127.0936985,178,140,170,Asia, India 
4959.114854,72.961,1318683096,150,178,140,170,Asia, China 
36180.78919,81.757,301931,5.011256144,251,152,152,Europe, Iceland 
9253.896111,74.543,684736,5.053355058,251,152,152,Europe, Montenegro 
25768.25759,77.926,2009245,5.19901771,251,152,152,Europe, Slovenia 
5937.029526,76.423,3600523,5.374018237,251,152,152,Europe, Albania 
40675.99635,78.885,4109086,5.429947366,251,152,152,Europe, Ireland 
14619.22272,75.748,4493312,5.472202555,251,152,152,Europe, Croatia 
7446.298803,74.852,4552198,5.478678532,251,152,152,Europe, Bosnia and Herzegovina 
49357.19017,80.196,4627926,5.487006706,251,152,152,Europe, Norway 
33207.0844,79.313,5238460,5.554150079,251,152,152,Europe, Finland 
18678.31435,74.663,5447502,5.577139437,251,152,152,Europe, Slovak Republic 
35278.41874,78.332,5468120,5.579406898,251,152,152,Europe, Denmark 
10680.79282,73.005,7322858,5.783381394,251,152,152,Europe, Bulgaria 
37506.41907,81.701,7554661,5.808873889,251,152,152,Europe, Switzerland 
36126.4927,79.829,8199783,5.879821071,251,152,152,Europe, Austria 
33859.74835,80.884,9031088,5.971243697,251,152,152,Europe, Sweden 
18008.94444,73.338,9956108,6.072972613,251,152,152,Europe, Hungary 
9786.534714,74.002,10150265,6.094324996,251,152,152,Europe, Serbia 
22833.30851,76.486,10228744,6.102955711,251,152,152,Europe, Czech Republic 
33692.60508,79.441,10392226,6.120934616,251,152,152,Europe, Belgium 
20509.64777,78.098,10642836,6.148495408,251,152,152,Europe, Portugal 
27538.41188,79.483,10706290,6.155473751,251,152,152,Europe, Greece 
36797.93332,79.762,16570613,6.800401673,251,152,152,Europe, Netherlands 
10808.47561,72.476,22276056,7.427856794,251,152,152,Europe, Romania 
15389.92468,75.563,38518241,9.214088321,251,152,152,Europe, Poland 
28821.0637,80.941,40448191,9.426334243,251,152,152,Europe, Spain 
28569.7197,80.546,58147733,11.37283836,251,152,152,Europe, Italy 
33203.26128,79.425,60776238,11.66190775,251,152,152,Europe, United Kingdom 
30470.0167,80.657,61083916,11.69574458,251,152,152,Europe, France 
8458.276384,71.777,71158647,12.80371141,251,152,152,Europe, Turkey 
32170.37442,79.406,82400996,14.04008682,251,152,152,Europe, Germany 
25185.00911,80.204,4115771,5.430682548,212,91,130,Oceania, New Zealand 
34435.36744,81.235,20434176,7.225296355,212,91,130,Oceania, Australia 
