id,x,y,z,size,time,r,g,b
0,46.59722718,54.83349554,46.02510081,5,0,229,45,32
1,52.31015451,55.16766201,52.86114457,5,0,229,45,32
2,46.69683101,46.62890317,53.49189614,5,0,229,45,32
3,53.50618425,51.59161137,48.92786174,5,0,229,45,32
4,49.32397932,54.82638113,50.10646123,5,0,229,45,32
0,40.05398252,89.36425543,81.12429829,3,0,247,204,49
1,45.12136443,35.41849147,37.32126968,3,0,247,204,49
2,97.92433727,7.44178547,20.90201581,3,0,247,204,49
3,96.75600076,90.55605356,87.40330824,3,0,247,204,49
4,54.25570548,56.57763328,76.25827481,3,0,247,204,49
5,30.54206539,88.34551043,68.1655367,3,0,247,204,49
6,3.57791221,66.03317401,15.30326972,3,0,247,204,49
7,88.76895259,19.21929975,10.575276,3,0,247,204,49
8,83.09925945,43.5753021,53.96797534,3,0,247,204,49
9,30.57292883,95.85983119,70.60821693,3,0,247,204,49
10,86.60275789,95.68263729,87.59628189,3,0,247,204,49
11,8.95676555,80.23271807,66.4446731,3,0,247,204,49
12,67.61287366,31.80662372,31.04996057,3,0,247,204,49
13,38.14708165,51.36931917,23.21904551,3,0,247,204,49
14,12.02032333,40.26459039,15.41435296,3,0,247,204,49
15,16.76604753,0.85684705,73.81462929,3,0,247,204,49
16,69.2695656,75.66782812,38.7575047,3,0,247,204,49
17,22.54113067,76.35806113,52.00731427,3,0,247,204,49
18,83.31392841,60.87383413,13.44993021,3,0,247,204,49
19,37.82562923,67.76914176,52.62241438,3,0,247,204,49
20,90.63300084,87.12692255,11.39801175,3,0,247,204,49
21,23.92829774,59.61412626,23.95148284,3,0,247,204,49
22,4.64904043,41.8963636,10.43281215,3,0,247,204,49
23,86.91323405,32.61936263,28.48398533,3,0,247,204,49
24,41.82391308,24.20820158,92.58007,3,0,247,204,49
25,57.14480033,97.20873998,98.46940429,3,0,247,204,49
26,4.82962845,22.93449945,73.40030861,3,0,247,204,49
27,31.93066495,69.94741264,64.8206787,3,0,247,204,49
28,83.60352606,29.90078922,24.61407954,3,0,247,204,49
29,65.1530178,13.79818263,92.60435965,3,0,247,204,49
30,22.5423157,41.90585877,16.01130168,3,0,247,204,49
31,95.61831863,47.84147101,67.36923839,3,0,247,204,49
32,83.90846851,86.08915366,47.28030432,3,0,247,204,49
33,8.07596799,48.25864341,57.55809546,3,0,247,204,49
34,3.69447481,5.48430654,78.0349367,3,0,247,204,49
35,94.14180565,10.74669043,7.76706804,3,0,247,204,49
36,72.21862717,82.97953102,31.41052066,3,0,247,204,49
37,72.23561565,3.01988898,46.53411411,3,0,247,204,49
38,87.71594505,49.51404458,1.87639092,3,0,247,204,49
39,6.49252535,15.77763839,71.49900927,3,0,247,204,49
40,10.53936208,32.42487789,81.10466455,3,0,247,204,49
41,86.27102591,67.62687541,87.64534145,3,0,247,204,49
42,28.02626863,39.81482173,26.12223675,3,0,247,204,49
43,91.60025533,73.4773486,79.14317983,3,0,247,204,49
44,48.77103013,22.07076002,95.95419141,3,0,247,204,49
45,82.99109434,48.73784237,22.68403156,3,0,247,204,49
46,40.71931566,80.95091466,90.44831388,3,0,247,204,49
47,67.99139568,73.55193468,59.56671633,3,0,247,204,49
48,74.31306928,52.2375721,85.73385699,3,0,247,204,49
49,9.15952463,18.55012339,69.25346698,3,0,247,204,49
0,45.87175245,55.36058378,45.5825351,5,1,229,45,32
1,51.72317332,54.35975171,52.8088565,5,1,229,45,32
2,47.39881784,46.11887988,53.98897835,5,1,229,45,32
3,54.0242977,52.30473335,48.45561657,5,1,229,45,32
4,48.53211267,55.40170592,50.3112748,5,1,229,45,32
0,40.27450323,88.589631,80.53156935,3,1,247,204,49
1,44.94181374,34.62174782,36.74424187,3,1,247,204,49
2,97.26150866,8.05285433,21.3347433,3,1,247,204,49
3,96.10798818,89.98983625,86.89391874,3,1,247,204,49
4,54.36101923,56.66245119,77.24909009,3,1,247,204,49
5,30.987528,87.52658153,67.80371007,3,1,247,204,49
6,4.34799404,65.7831606,15.89018306,3,1,247,204,49
7,88.17889619,19.71070583,11.2158644,3,1,247,204,49
8,82.12534669,43.78955511,53.89321186,3,1,247,204,49
9,30.95791656,95.00959633,70.24921118,3,1,247,204,49
10,86.07856325,95.01791978,87.06395622,3,1,247,204,49
11,9.74213364,79.68004302,66.16584118,3,1,247,204,49
12,67.10107025,32.38808823,31.68238156,3,1,247,204,49
13,37.83153487,51.19117055,22.28700833,3,1,247,204,49
14,12.74174732,40.45576022,16.07993655,3,1,247,204,49
15,17.29779244,1.62896617,73.46666463,3,1,247,204,49
16,68.72446182,74.9192177,39.13492264,3,1,247,204,49
17,23.28272071,75.68739753,51.99135961,3,1,247,204,49
18,82.67928306,60.67176764,14.19584872,3,1,247,204,49
19,37.21743044,68.55296665,52.74776494,3,1,247,204,49
20,90.04273422,86.58265523,11.9941312,3,1,247,204,49
21,24.6121057,59.38646617,24.64471986,3,1,247,204,49
22,5.39101045,42.03549434,11.08864989,3,1,247,204,49
23,86.18576337,33.04008828,29.02599671,3,1,247,204,49
24,42.00872686,24.73872255,91.7527905,3,1,247,204,49
25,57.05270471,96.50795452,97.7620019,3,1,247,204,49
26,5.62387052,23.41015608,73.02224734,3,1,247,204,49
27,32.56057311,69.30929419,64.37793664,3,1,247,204,49
28,82.86283239,30.31356235,25.14416559,3,1,247,204,49
29,64.90522656,14.44363,91.88186592,3,1,247,204,49
30,23.15805745,42.09397896,16.77646368,3,1,247,204,49
31,94.67841488,47.89979735,67.03281756,3,1,247,204,49
32,83.23109999,85.35843292,47.3652695,3,1,247,204,49
33,9.06441212,48.31262117,57.41644591,3,1,247,204,49
34,4.36484244,6.12334141,77.6577873,3,1,247,204,49
35,93.55248309,11.29156339,8.36356815,3,1,247,204,49
36,71.7318982,82.23636287,31.86964593,3,1,247,204,49
37,71.83015766,3.92923877,46.62731693,3,1,247,204,49
38,87.12073518,49.53189733,2.67976286,3,1,247,204,49
39,7.24454617,16.35373509,71.1787324,3,1,247,204,49
40,11.29744076,32.76567871,80.54863261,3,1,247,204,49
41,85.61011537,67.30808066,86.9659541,3,1,247,204,49
42,28.66775638,40.11640662,26.82760192,3,1,247,204,49
43,90.85161498,73.05572567,78.6315435,3,1,247,204,49
44,48.81340359,22.60985183,95.11301098,3,1,247,204,49
45,82.24774987,48.78173354,23.35149883,3,1,247,204,49
46,40.92306913,80.35038645,89.67510602,3,1,247,204,49
47,67.4147945,72.78238715,59.29225746,3,1,247,204,49
48,73.75117154,52.19649617,84.90767075,3,1,247,204,49
49,9.8952563,19.13299941,68.90856923,3,1,247,204,49
0,46.15748129,54.48120084,45.96338242,5,2,229,45,32
1,52.60333416,54.64573331,52.43000109,5,2,229,45,32
2,47.09148123,47.06476471,53.88483375,5,2,229,45,32
3,53.20029362,52.0369982,48.95495129,5,2,229,45,32
4,48.80145259,54.57276289,49.8210611,5,2,229,45,32
0,40.49158338,87.81498765,79.93759638,3,2,247,204,49
1,44.76727432,33.8299817,36.15888522,3,2,247,204,49
2,96.59632949,8.66266964,21.7656284,3,2,247,204,49
3,95.46011842,89.42385046,86.38409048,3,2,247,204,49
4,54.4279147,56.73470938,78.24423016,3,2,247,204,49
5,31.42910137,86.70674602,67.43917927,3,2,247,204,49
6,5.11793461,65.53067565,16.47622305,3,2,247,204,49
7,87.58606433,20.20092043,11.85480104,3,2,247,204,49
